#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3A96E3E3549C94FF-12E00A479F422B2B
#datatype	hitsConcise Results
#status	0
#Start time	2016-10-14T18:33:56	Run time	0:01:43:05
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#2 - >Tb927.9.17180	specific	289949	22	360	5.30714e-55	186.597	pfam13206	VSG_B	 - 	cl20486
Q#2 - >Tb927.9.17180	superfamily	287612	402	493	0.000150332	39.7006	cl11264	Trypan_glycop_C superfamily	 - 	 - 
Q#4 - >Tb927.11.10160	specific	173474	6	130	7.14891e-58	174.08	PTZ00198	PTZ00198	 - 	cl03348
Q#5 - >Tb927.5.5090	specific	289949	16	362	9.16656e-39	143.069	pfam13206	VSG_B	 - 	cl20486
Q#5 - >Tb927.5.5090	superfamily	287612	398	431	0.00503491	35.4634	cl11264	Trypan_glycop_C superfamily	C	 - 
Q#7 - >Tb927.4.2180	specific	240239	19	149	1.41708e-54	166.402	PTZ00041	PTZ00041	 - 	cl01033
Q#12 - >Tb927.10.2510	superfamily	295179	398	471	0.00380867	35.6546	cl02111	PCI superfamily	N	 - 
Q#16 - >Tb11.v4.0039	superfamily	289949	29	215	0.000174668	41.7616	cl20486	VSG_B superfamily	N	 - 
Q#19 - >Tb927.11.12670	specific	280785	63	320	2.2957e-55	178.492	pfam02676	TYW3	 - 	cl00689
Q#20 - >Tb927.10.16210	superfamily	212564	223	264	0.00553799	37.0587	cl17035	lambda-1 superfamily	C	 - 
Q#21 - >Tb927.11.5420	multi-dom	224117	205	329	7.81772e-05	43.1644	COG1196	Smc	NC	 - 
Q#22 - >Tb927.8.3280	superfamily	304873	30	289	9.91188e-33	119.886	cl23716	metallo-hydrolase-like_MBL-fold superfamily	 - 	 - 
Q#23 - >Tb927.11.15290	superfamily	302624	26	265	3.46385e-31	113.07	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#23 - >Tb927.11.15290	multi-dom	225443	27	265	1.7985e-29	111.274	COG2890	HemK	N	 - 
Q#24 - >Tb927.9.17480	superfamily	279282	2	194	3.08657e-16	77.0657	cl03014	Trypan_glycop superfamily	N	 - 
Q#24 - >Tb927.9.17480	superfamily	287612	222	331	2.54625e-07	47.0194	cl11264	Trypan_glycop_C superfamily	 - 	 - 
Q#25 - >Tb927.8.4790	multi-dom	280047	10	124	0.00204605	37.0303	pfam01798	Nop	N	 - 
Q#26 - >Tb927.9.16790	specific	289949	20	365	3.37961e-42	152.699	pfam13206	VSG_B	 - 	cl20486
Q#26 - >Tb927.9.16790	specific	287612	405	517	6.08658e-26	100.562	pfam10659	Trypan_glycop_C	 - 	cl11264
Q#28 - >Tb927.10.13790	multi-dom	227278	2	67	0.00208028	39.7053	COG4942	EnvC	NC	 - 
