#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-C9462657F40EF08-378D0F774F201E6F
#datatype	hitsConcise Results
#status	0
#Start time	2016-10-14T18:33:18	Run time	0:01:43:48
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Tb927.7.4160	specific	279492	24	289	3.69264e-68	210.964	pfam01151	ELO	 - 	cl03120
Q#3 - >Tb927.3.1130	superfamily	301300	236	558	2.78685e-63	207.107	cl13995	MPP_superfamily superfamily	 - 	 - 
Q#5 - >Tb927.3.2430	superfamily	302927	617	720	3.41738e-08	51.0617	cl19569	VPS9 superfamily	 - 	 - 
Q#5 - >Tb927.3.2430	multi-dom	226989	132	249	1.04257e-06	47.8108	COG4642	COG4642	 - 	 - 
Q#6 - >Tb927.3.150	specific	289949	28	342	9.68881e-47	165.411	pfam13206	VSG_B	 - 	cl20486
Q#6 - >Tb927.3.150	specific	287612	416	532	6.95721e-18	77.8354	pfam10659	Trypan_glycop_C	 - 	cl11264
Q#8 - >Tb927.2.5010	superfamily	302622	361	468	2.76975e-05	42.3052	cl17171	PH-like superfamily	 - 	 - 
Q#10 - >Tb927.3.980	superfamily	304357	385	417	0.000911645	40.2624	cl21453	PKc_like superfamily	NC	 - 
Q#11 - >Tb927.2.4230	multi-dom	274008	2380	3155	4.48524e-19	94.353	TIGR02168	SMC_prok_B	 - 	 - 
Q#11 - >Tb927.2.4230	multi-dom	224117	944	1716	1.16006e-18	92.8551	COG1196	Smc	N	 - 
Q#11 - >Tb927.2.4230	multi-dom	224117	1952	2724	1.76911e-18	92.0847	COG1196	Smc	N	 - 
Q#11 - >Tb927.2.4230	multi-dom	274008	2812	3568	4.16488e-17	87.8046	TIGR02168	SMC_prok_B	C	 - 
Q#11 - >Tb927.2.4230	multi-dom	224117	563	1284	7.81846e-13	73.5952	COG1196	Smc	N	 - 
Q#11 - >Tb927.2.4230	multi-dom	274008	157	903	1.43654e-08	59.685	TIGR02168	SMC_prok_B	 - 	 - 
Q#13 - >Tb927.2.470	superfamily	302859	27	805	0	854.894	cl19421	RHSP superfamily	 - 	 - 
Q#16 - >Tb927.4.1870	superfamily	301300	54	377	1.61283e-76	238.254	cl13995	MPP_superfamily superfamily	 - 	 - 
Q#16 - >Tb927.4.1870	multi-dom	197547	54	380	6.72948e-88	267.156	smart00156	PP2Ac	 - 	 - 
Q#17 - >Tb927.4.2540	superfamily	294102	1	77	3.68411e-20	74.8201	cl00155	UBQ superfamily	 - 	 - 
Q#17 - >Tb927.4.2540	multi-dom	214563	1	73	8.84932e-19	71.1361	smart00213	UBQ	 - 	 - 
Q#22 - >Tb927.4.1700	specific	270919	98	384	2.85155e-137	402.021	cd14017	STKc_TTBK	 - 	cl21453
Q#22 - >Tb927.4.1700	multi-dom	223589	98	389	1.05308e-24	105.594	COG0515	SPS1	C	 - 
Q#23 - >Tb927.4.2460	specific	238073	1127	1262	4.95758e-40	143.518	cd00127	DSPc	 - 	cl21483
Q#23 - >Tb927.4.2460	specific	270622	156	389	1.77428e-31	121.609	cd00180	PKc	 - 	cl21453
Q#23 - >Tb927.4.2460	superfamily	304357	451	712	5.06646e-11	63.341	cl21453	PKc_like superfamily	 - 	 - 
Q#23 - >Tb927.4.2460	multi-dom	278497	447	712	2.02293e-09	58.3748	pfam00069	Pkinase	 - 	 - 
Q#23 - >Tb927.4.2460	multi-dom	290566	966	1023	4.36665e-06	44.0555	pfam13855	LRR_8	 - 	 - 
Q#24 - >Tb927.7.5020	specific	185443	3	177	1.37993e-66	203.383	PTZ00097	PTZ00097	 - 	cl00232
Q#25 - >Tb927.10.10670	specific	238073	44	186	6.11017e-46	146.985	cd00127	DSPc	 - 	cl21483
Q#26 - >Tb927.11.830	superfamily	299704	524	594	0.00123244	40.8864	cl11399	HP superfamily	N	 - 
Q#27 - >Tb927.7.5090	superfamily	303063	57	344	2.88029e-11	65.82	cl19886	Cnd2 superfamily	C	 - 
Q#28 - >Tb927.11.7380	specific	293506	466	586	2.0742e-37	133.775	pfam16901	DAO_C	 - 	cl25187
Q#28 - >Tb927.11.7380	multi-dom	223651	83	602	2.56911e-118	360.44	COG0578	GlpA	 - 	 - 
Q#29 - >Tb927.11.7290	specific	281610	1060	1458	2.52931e-120	378.006	pfam03630	Fumble	 - 	cl17037
Q#29 - >Tb927.11.7290	superfamily	302604	480	1023	4.57873e-31	128.433	cl17068	AFD_class_I superfamily	 - 	 - 
Q#29 - >Tb927.11.7290	superfamily	294334	35	336	1.10634e-22	98.5683	cl00490	EEP superfamily	 - 	 - 
Q#29 - >Tb927.11.7290	multi-dom	140318	25	1467	0	2752.8	PTZ00297	PTZ00297	 - 	 - 
Q#31 - >Tb927.11.4130	superfamily	294102	17	74	7.49244e-09	51.0873	cl00155	UBQ superfamily	 - 	 - 
Q#31 - >Tb927.11.4130	multi-dom	214563	17	73	7.14038e-10	54.1873	smart00213	UBQ	 - 	 - 
Q#32 - >Tb927.11.5450	superfamily	304358	270	557	9.51679e-114	338.369	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#32 - >Tb927.11.5450	specific	278802	82	260	8.52693e-86	262.97	pfam00390	malic	 - 	cl02855
Q#32 - >Tb927.11.5450	multi-dom	240357	1	558	0	1032.65	PTZ00317	PTZ00317	 - 	 - 
Q#34 - >Tb927.11.4220	specific	279823	233	348	1.59502e-22	91.2746	pfam01529	zf-DHHC	 - 	cl19890
Q#35 - >Tb927.11.3250	specific	281078	3870	4646	0	766.271	pfam03028	Dynein_heavy	 - 	cl20241
Q#35 - >Tb927.11.3250	specific	285571	189	774	9.90818e-141	451.297	pfam08385	DHC_N1	 - 	cl20356
Q#35 - >Tb927.11.3250	specific	285579	1331	1748	1.92442e-122	392.348	pfam08393	DHC_N2	 - 	cl20357
Q#35 - >Tb927.11.3250	superfamily	304359	1883	2111	2.95994e-113	359	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#35 - >Tb927.11.3250	specific	289547	3509	3724	6.044e-109	345.531	pfam12781	AAA_9	 - 	cl15086
Q#35 - >Tb927.11.3250	superfamily	304359	2856	3125	3.12131e-99	320.351	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#35 - >Tb927.11.3250	superfamily	289543	3137	3482	2.09118e-85	283.845	cl15084	MT superfamily	 - 	 - 
Q#35 - >Tb927.11.3250	superfamily	304359	2510	2777	2.3551e-84	277.591	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#35 - >Tb927.11.3250	superfamily	304359	2197	2338	1.31529e-11	63.8419	cl21455	P-loop_NTPase superfamily	 - 	 - 
